sample_id,iteration,seed,Percentage of burned trees
0,0,68637623074610341787278646153917231291,0.0295
0,1,317501099192814938120852037056870455601,0.033
0,2,248086503644464708984122735844503887131,0.0385
0,3,47902784292720778249399337530282148027,0.0325
0,4,101826313254378848436370745281700867842,0.033
0,5,28734580935200864375532526524173023359,0.044
0,6,68655460624772668363647745978925862550,0.0165
0,7,41086960146725214006028496774529299861,0.0345
0,8,262833021412288494890249592799155462519,0.035
0,9,139036173494005777424265474021612518973,0.0455
0,10,44973602301336153515304011289671013300,0.0355
0,11,55874782394400526103507183583410242386,0.021
0,12,160875709654834627969737320167092857730,0.0415
0,13,297869643837841472225461725037493653398,0.0315
0,14,131155384812543569812887665837761352032,0.0485
0,15,163436796212779035445877166084033909680,0.032
0,16,128678590822887027512252634811337185004,0.029
0,17,217495349324562478768477804506044878987,0.036
0,18,233412879779493890635674444645268004877,0.0365
0,19,297147602546209344316796265349852761013,0.0345
0,20,234675499795048755719162415703180817602,0.0315
0,21,32773986525553556828882857888212098170,0.025
0,22,254681899102235508541493204085260795938,0.029
0,23,73149885589877257067876462523668050321,0.02
0,24,278972261371331209088097111803109336272,0.025
0,25,152733157328573586076552738856729468136,0.049
0,26,277147543314957285717754491690917922238,0.0255
0,27,124572792051768021016423945594336987500,0.038
0,28,24566449997091429481571331451836078160,0.0365
0,29,63729217826774826264458364923868727531,0.0305
0,30,74046249441871921488370363872912286200,0.0175
0,31,190571581403713766439071616979518767486,0.0285
0,32,127996221912707638196742658374622598070,0.036
0,33,49010836434792523767085369270995639927,0.02
0,34,327091829526446285040568153083007730264,0.0285
0,35,269954648959372537555153631888214976326,0.038
0,36,275289977932843339380777127682892838409,0.027
0,37,269073859905828539752811449827169904861,0.027
0,38,218544109819390631105081801124701692513,0.028
0,39,287657370151654428285321704563704104153,0.0425
1,0,147859957434354834722037289932593923200,0.0271408516612073
1,1,74824811945930155193422666275963230514,0.02667290594291062
1,2,86314571745323694300313731555516135157,0.04117922321010763
1,3,184933123665242152576729133011467062061,0.027608797379503978
1,4,97441689874711897805882330498856477418,0.035563874590547495
1,5,245452947182549336503794132960275391,0.034160037435657466
1,6,337841291910524713438243090966200258671,0.03088441740758072
1,7,272360561638936945261587438918058364914,0.03509592887225082
1,8,131864613062427755605119739847422990522,0.03275620028076743
1,9,221340324701156475703564514203204883920,0.03462798315395414
1,10,322454896447454624020137934734738535511,0.03696771174543753
1,11,92186553857437404326589849194689227299,0.037903603182030884
1,12,14113579924796974293596449373925499715,0.0271408516612073
1,13,198471995332818493906268083294485684980,0.030416471689284044
1,14,236504523699439228470342158861551121567,0.03275620028076743
1,15,104212845967144766976688987149276849513,0.03883949461862424
1,16,300238272263702699827665025516095855815,0.035563874590547495
1,17,143706649105146135288960285913044966558,0.04866635470285447
1,18,219226036932415408565044500036046277381,0.03696771174543753
1,19,240381873680992217775320027617679191446,0.03837154890032756
1,20,36142522461440713759416452061086368661,0.03228825456247075
1,21,295299332610990766311289728718500011442,0.04211511464670098
1,22,293861692892951049475230367190498470594,0.028076743097800654
1,23,32954909917122558716737938490355033649,0.03696771174543753
1,24,81519144970082674967479238984924906923,0.03088441740758072
1,25,137060047572028383021670404596411098550,0.0313523631258774
1,26,336840923553401335742738946091964766656,0.02573701450631727
1,27,117214799422318103278517719899253595250,0.029480580252690687
1,28,78515317967833139069406171712792321580,0.04211511464670098
